_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,alert_numerical,alert_suggestion,browser,calc_balance,calc_hours,calc_interest,feedback,feeling_hours,feeling_numerical,feeling_suggestion,imageorder,income,indebt,naam,nobuyreason,pageorder,product,regret,s_hours,s_numerical,s_suggestion,scenario_hours,scenario_numerical,scenario_suggestion,scenarioorder,spam,time_hours,time_numerical,time_pre,time_suggestion,warnings
1580700698,2/15/2018 18:54:51,3371896872,2/15/2018 18:53:03,False,keeprewarding,0.6956,43619067,CAN,0,0,0,2,1,0,-39.66666666666666,7.0,5.55,no,"ontevreden
verdrietig",verdrietig,"bezorgd
verdrietig","2,3,1",0,eens,0,irresponsible,"3,4,2",electronics,eens,cancel3,cancel4,cancel2,4.0,2.0,3.0,"2,0,1",0,24.0,20.0,17.0,17.0,nee
1580700698,2/15/2018 23:44:56,3372671249,2/15/2018 23:36:24,False,elite,0.7026,44293099,USA,0,0,0,0,2,0,-47.16666666666666,5.0,0.13,,blij,opgelucht,"tevreden
opgelucht","1,3,2",1,eens,0,nointerest,"4,3,2",electronics,eens,submit3,cancel4,cancel2,3.0,2.0,4.0,"2,1,0",0,40.0,43.0,367.0,17.0,ja
1580700698,2/15/2018 23:50:45,3372684617,2/15/2018 23:47:09,False,elite,0.7025,44301971,USA,0,0,0,2,2,0,-45.5,5.0,6.37,,"tevreden
blij",tevreden,opgewonden,"1,2,3",1,eens,0,irresponsible,"4,3,2",electronics,eens,submit3,cancel4,submit2,3.0,2.0,4.0,"2,1,0",0,13.0,6.0,154.0,17.0,nee
1580700698,2/15/2018 23:56:48,3372697735,2/15/2018 23:56:15,False,elite,0.6081,44002729,GBR,0,0,0,1,0,0,-67.0,3.0,0.78,,ontevreden,"tevreden
blij","tevreden
blij","2,3,1",3,eens,0,nointerest,"2,3,4",clothing,eens,cancel3,submit4,submit2,3.0,4.0,2.0,"0,1,2",0,6.0,6.0,7.0,4.0,nee
1580700698,2/16/2018 01:29:49,3372955647,2/16/2018 01:28:27,False,prodege,0.6707,9559045,USA,0,0,0,0,2,0,-38.5,4.0,0.1,,weetniet,ontevreden,weetniet,"3,2,1",1,eens,0,irresponsible,"3,2,4",clothing,eens,cancel3,cancel4,cancel2,2.0,4.0,3.0,"1,0,2",0,13.0,15.0,16.0,15.0,weetniet
1580700698,2/16/2018 01:47:05,3373021565,2/16/2018 01:46:06,False,instagc,0.6789,40087755,USA,0,0,0,1,0,0,-80.0,4.0,0.93,,weetniet,opgelucht,opgelucht,"1,2,3",3,oneens,0,irresponsible,"4,3,2",electronics,eens,cancel3,cancel4,cancel2,3.0,2.0,4.0,"2,1,0",0,14.0,6.0,9.0,12.0,ja
1580700698,2/16/2018 02:28:13,3373144820,2/16/2018 02:23:51,False,instagc,0.7105,36851940,CAN,0,0,0,2,2,0,-58.83333333333334,4.0,8.24,,verdrietig,verdrietig,"blij
opgewonden","3,1,2",2,eens,0,"irresponsible
nointerest","2,4,3",electronics,eens,cancel3,cancel4,submit2,4.0,3.0,2.0,"0,2,1",0,43.0,54.0,55.0,41.0,ja
1580700698,2/16/2018 02:38:32,3373172536,2/16/2018 02:33:59,False,instagc,0.6354,41957650,CAN,0,0,0,0,2,0,-63.66666666666666,3.0,0.17,,blij,"ontevreden
bezorgd
verdrietig
beschaamd",tevreden,"1,2,3",3,eens,0,irresponsible,"3,2,4",clothing,oneens,submit3,cancel4,submit2,2.0,4.0,3.0,"1,0,2",0,19.0,29.0,103.0,38.0,ja
1580700698,2/16/2018 04:37:33,3373433331,2/16/2018 04:36:46,False,neodev,0.7532,44318581,USA,0,0,0,2,0,0,-47.16666666666666,5.0,6.6,,tevreden,opgelucht,ontevreden,"2,3,1",1,eens,0,irresponsible,"2,3,4",electronics,eens,submit3,submit4,cancel2,3.0,4.0,2.0,"0,1,2",0,9.0,8.0,8.0,3.0,ja
1580700698,2/16/2018 17:36:23,3375757784,2/16/2018 17:32:39,False,neodev,0.7023,43734390,USA,0,0,0,0,2,0,-55.0,4.0,0.15,,blij,"ontevreden
bezorgd
schuldig",bezorgd,"3,1,2",2,eens,0,irresponsible,"3,2,4",clothing,eens,submit3,cancel4,cancel2,2.0,4.0,3.0,"1,0,2",0,5.0,13.0,13.0,8.0,ja
