_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,browser,feedback,feeling_danger,feeling_none,feeling_warning,imageorder,income,indebt,naam,nobuyreason,pageorder,product,regret,s_danger,s_none,s_warning,scenario_danger,scenario_none,scenario_warning,scenarioorder,spam,time_danger,time_none,time_pre,time_warning,warnings
1579177886,2/22/2018 23:25:55,3398328259,2/22/2018 23:17:31,False,elite,0.7357,44295335,USA,0,0,0,0,,ontevreden,ontevreden,verdrietig,"2,3,1",1,eens,0,irresponsible,"3,2,4",clothing,eens,cancel4,cancel2,cancel3,4.0,3.0,2.0,"1,0,2",0,5.0,5.0,473.0,3.0,ja
1579177886,2/23/2018 00:34:45,3398576845,2/23/2018 00:33:24,False,bitcoinget,0.7190000000000001,43847796,USA,0,0,0,0,,tevreden,blij,tevreden,"2,1,3",3,eens,0,nointerest,"3,4,2",electronics,eens,cancel4,submit2,cancel3,2.0,3.0,4.0,"2,0,1",0,8.0,15.0,12.0,13.0,ja
1579177886,2/23/2018 00:47:42,3398628934,2/23/2018 00:40:27,False,bitcoinget,0.6723,44031704,USA,0,0,0,0,,verdrietig,"opgelucht
verdrietig","verdrietig
beschaamd","3,1,2",3,eens,0,nointerest,"3,4,2",clothing,eens,cancel4,cancel2,cancel3,2.0,3.0,4.0,"2,0,1",0,74.0,45.0,119.0,69.0,ja
1579177886,2/23/2018 02:35:54,3399064605,2/23/2018 02:33:10,False,gifthunterclub,0.7142,43811734,USA,0,0,0,0,,"boos
ontevreden
bezorgd
verdrietig
beschaamd","ontevreden
bezorgd","ontevreden
verdrietig","2,1,3",0,eens,0,irresponsible,"3,2,4",electronics,eens,cancel4,cancel2,cancel3,4.0,3.0,2.0,"1,0,2",0,6.0,12.0,33.0,5.0,ja
1579177886,2/23/2018 02:36:35,3399067318,2/23/2018 02:34:04,False,prodege,0.7517,35087810,USA,0,0,0,0,,ontevreden,verdrietig,weetniet,"1,2,3",2,eens,0,irresponsible,"3,4,2",electronics,eens,cancel4,cancel2,cancel3,2.0,3.0,4.0,"2,0,1",0,18.0,28.0,28.0,17.0,ja
1579177886,2/23/2018 03:34:02,3399232698,2/23/2018 03:32:20,False,elite,0.6886,44039331,USA,0,0,0,0,good,verdrietig,tevreden,tevreden,"3,1,2",0,eens,0,irresponsible,"3,2,4",clothing,eens,cancel4,submit2,submit3,4.0,3.0,2.0,"1,0,2",0,8.0,9.0,55.0,5.0,nee
1579177886,2/23/2018 03:44:36,3399250406,2/23/2018 03:36:21,False,clixsense,0.7654,6342161,CAN,0,0,0,0,If I do not have the money to pay for something I want or need I will manage to save the amount require to pay for it,opgelucht,tevreden,opgelucht,"2,1,3",1,eens,0,irresponsible,"4,3,2",electronics,eens,cancel4,cancel2,cancel3,2.0,4.0,3.0,"2,1,0",0,112.0,63.0,55.0,96.0,ja
1579177886,2/23/2018 03:56:55,3399270977,2/23/2018 03:51:05,False,elite,0.7526,44234166,USA,0,0,0,0,,verdrietig,blij,"tevreden
blij","2,3,1",0,eens,0,irresponsible,"2,4,3",electronics,eens,cancel4,submit2,submit3,3.0,2.0,4.0,"0,2,1",0,41.0,60.0,103.0,40.0,ja
1579177886,2/23/2018 04:30:08,3399326230,2/23/2018 04:27:58,False,instagc,0.737,18386513,USA,0,0,0,0,None,ontevreden,ontevreden,ontevreden,"2,3,1",1,eens,0,irresponsible,"3,2,4",clothing,eens,cancel4,cancel2,cancel3,4.0,3.0,2.0,"1,0,2",0,21.0,23.0,29.0,21.0,ja
1579177886,2/23/2018 04:51:27,3399364212,2/23/2018 04:49:23,False,instagc,0.7178,34554100,USA,0,0,0,0,,verdrietig,tevreden,weetniet,"1,2,3",1,eens,0,nvt,"3,2,4",electronics,eens,submit4,submit2,submit3,4.0,3.0,2.0,"1,0,2",0,29.0,15.0,17.0,34.0,ja
1579177886,2/23/2018 07:44:42,3399560579,2/23/2018 07:42:34,False,instagc,0.6773,30145358,CAN,0,0,0,0,,"tevreden
verdrietig
beschaamd",opgelucht,"tevreden
opgelucht","1,2,3",4,eens,0,"irresponsible
nointerest","3,2,4",clothing,eens,cancel4,cancel2,cancel3,4.0,3.0,2.0,"1,0,2",0,21.0,16.0,20.0,25.0,ja
1579177886,2/23/2018 08:51:43,3399657611,2/23/2018 08:48:47,False,elite,0.6875,44037117,USA,0,0,0,0,good,verdrietig,blij,tevreden,"3,2,1",0,eens,0,irresponsible,"4,2,3",clothing,eens,cancel4,submit2,submit3,3.0,4.0,2.0,"1,2,0",0,6.0,9.0,118.0,6.0,nee
